class_index,class_name,precision,recall,f1_score,support
0,",",0.8883495145631068,0.8798076923076923,0.8840579710144928,208
1,undecided,0.9904306220095693,0.9951923076923077,0.9928057553956835,208
2,ⴀ,0.9814814814814815,1.0,0.9906542056074766,212
3,ⴁ,0.9782608695652174,0.994475138121547,0.9863013698630136,181
4,ⴂ,1.0,0.9819819819819819,0.990909090909091,222
5,ⴃ,0.9954545454545455,0.9954545454545455,0.9954545454545455,220
6,ⴄ,0.9792746113989638,0.9947368421052631,0.9869451697127938,190
7,ⴅ,1.0,0.9898477157360406,0.9948979591836735,197
8,ⴆ,1.0,1.0,1.0,204
9,ⴇ,1.0,0.985,0.9924433249370277,200
10,ⴈ,0.9853658536585366,0.9805825242718447,0.9829683698296837,206
11,ⴉ,0.9947089947089947,0.9894736842105263,0.9920844327176781,190
12,ⴊ,1.0,0.9902439024390244,0.9950980392156863,205
13,ⴋ,0.9952380952380953,0.9812206572769953,0.9881796690307328,213
14,ⴌ,1.0,0.9949494949494949,0.9974683544303797,198
15,ⴍ,1.0,0.9707317073170731,0.9851485148514851,205
16,ⴎ,0.9678899082568807,0.9813953488372092,0.9745958429561201,215
17,ⴏ,0.9948717948717949,0.9847715736040609,0.9897959183673469,197
18,ⴐ,1.0,1.0,1.0,195
19,ⴑ,0.9946524064171123,1.0,0.9973190348525469,186
20,ⴒ,1.0,0.9947916666666666,0.9973890339425587,192
21,ⴓ,0.9950248756218906,0.9900990099009901,0.9925558312655087,202
22,ⴔ,0.9947916666666666,1.0,0.9973890339425587,191
23,ⴕ,0.9953488372093023,0.9953488372093023,0.9953488372093023,215
24,ⴖ,0.9902912621359223,0.9951219512195122,0.9927007299270073,205
25,ⴗ,0.9747474747474747,1.0,0.9872122762148338,193
26,ⴘ,0.990521327014218,0.9858490566037735,0.9881796690307328,212
27,ⴙ,0.9895833333333334,0.9947643979057592,0.9921671018276762,191
28,ⴚ,0.9897959183673469,1.0,0.9948717948717949,194
29,ⴛ,1.0,0.9902439024390244,0.9950980392156863,205
30,ⴜ,0.9947643979057592,1.0,0.9973753280839895,190
31,ⴝ,0.9948186528497409,1.0,0.9974025974025974,192
32,ⴞ,1.0,0.9897959183673469,0.9948717948717949,196
33,ⴟ,0.9947916666666666,1.0,0.9973890339425587,191
34,ⴠ,1.0,1.0,1.0,195
35,ⴡ,1.0,0.9866666666666667,0.9932885906040269,225
36,ⴢ,0.9948186528497409,1.0,0.9974025974025974,192
37,ⴣ,0.946524064171123,0.9833333333333333,0.9645776566757494,180
38,ⴤ,0.9946524064171123,1.0,0.9973190348525469,186
39,ⴥ,1.0,1.0,1.0,204
40,ⴧ,0.9948186528497409,1.0,0.9974025974025974,192
41,ⴭ,0.9950980392156863,0.9902439024390244,0.9926650366748166,205
